City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,ramanuj ganj,23.8,83.7,26.04,81,30,1.7,IN,1690137471
345,fort st. john,56.2499,-120.8529,17.94,52,75,5.14,CA,1690137100
346,bonthe,7.5264,-12.505,25.61,85,100,3.97,SL,1690137471
347,quixada,-4.9714,-39.0153,34.02,31,87,3.73,BR,1690137427
348,walvis bay,-22.9575,14.5053,12.83,82,0,1.54,NA,1690137104
349,lamu,-2.2717,40.902,24.12,84,61,6.38,KE,1690137471
350,kalabo,-14.97,22.6814,18.3,23,32,2.14,ZM,1690137471
351,shindand,33.3029,62.1474,29.53,16,0,9.47,AF,1690137471
352,hadibu,12.65,54.0333,25.05,81,100,8.28,YE,1690137471
353,america dourada,-11.4553,-41.4361,25.47,47,71,6.72,BR,1690137471
354,motueka,-41.1333,173.0167,8.39,90,71,2.33,NZ,1690137472
355,villa regina,-39.1,-67.0667,10.55,25,100,4.63,AR,1690137472
356,kota belud,6.351,116.4305,25.33,83,100,2.77,MY,1690137472
357,perth,-31.9333,115.8333,13.77,65,0,4.63,AU,1690137255
358,lerwick,60.1545,-1.1494,14.0,79,11,7.26,GB,1690137047
359,bardsir,29.9227,56.5743,25.94,16,100,1.71,IR,1690137472
360,waveland,30.2869,-89.3762,31.68,70,75,3.6,US,1690137197
361,ennis,52.8436,-8.9864,16.96,77,75,6.17,IE,1690137472
